,Location,Obs,Start,End
0,Malaysia,60,2020-02-27,2020-04-26
1,Philippines,67,2020-02-21,2020-04-27
2,Bulgaria,50,2020-03-09,2020-04-27
3,Croatia,50,2020-03-08,2020-04-26
4,Czechia,54,2020-03-05,2020-04-27
5,Hungary,55,2020-03-04,2020-04-27
6,Poland,56,2020-03-03,2020-04-27
7,Romania,56,2020-03-03,2020-04-27
8,Serbia,55,2020-03-04,2020-04-27
9,Slovakia,32,2020-03-26,2020-04-26
10,Slovenia,54,2020-03-05,2020-04-27
11,Estonia,48,2020-03-10,2020-04-26
12,Latvia,26,2020-04-01,2020-04-26
13,Lithuania,53,2020-03-05,2020-04-26
14,Republic of Moldova,48,2020-03-11,2020-04-27
15,Ukraine,53,2020-03-06,2020-04-27
16,Japan,68,2020-02-20,2020-04-27
17,Republic of Korea,85,2020-02-02,2020-04-26
18,Austria,62,2020-02-26,2020-04-27
19,Belgium,65,2020-02-23,2020-04-27
20,Cyprus,49,2020-03-09,2020-04-26
21,Denmark,61,2020-02-27,2020-04-27
22,Finland,53,2020-03-06,2020-04-27
23,France,63,2020-02-24,2020-04-26
24,Greece,62,2020-02-26,2020-04-27
25,Iceland,43,2020-03-15,2020-04-26
26,Ireland,58,2020-03-01,2020-04-27
27,Israel,56,2020-03-03,2020-04-27
28,Luxembourg,58,2020-02-29,2020-04-26
29,Netherlands,61,2020-02-27,2020-04-27
30,Norway,62,2020-02-26,2020-04-27
31,Portugal,58,2020-03-01,2020-04-27
32,Sweden,63,2020-02-25,2020-04-27
33,Switzerland,69,2020-02-19,2020-04-27
34,United Kingdom,70,2020-02-18,2020-04-27
35,Argentina,56,2020-03-03,2020-04-27
36,Chile,54,2020-03-05,2020-04-27
37,Dominican Republic,58,2020-03-01,2020-04-27
38,Ecuador,50,2020-03-01,2020-04-19
39,Peru,55,2020-03-04,2020-04-27
40,Colombia,55,2020-03-04,2020-04-27
41,Panama,50,2020-03-09,2020-04-27
42,Egypt,68,2020-02-20,2020-04-27
43,Iran (Islamic Republic of),69,2020-02-19,2020-04-27
44,Turkey,48,2020-03-11,2020-04-27
45,Puerto Rico,45,2020-03-14,2020-04-27
46,Alabama,48,2020-03-11,2020-04-27
47,Alaska,49,2020-03-09,2020-04-26
48,Arizona,55,2020-03-04,2020-04-27
49,Arkansas,52,2020-03-07,2020-04-27
50,California,67,2020-02-21,2020-04-27
51,Colorado,54,2020-03-05,2020-04-27
52,Connecticut,52,2020-03-07,2020-04-27
53,Delaware,51,2020-03-08,2020-04-27
54,District of Columbia,54,2020-03-05,2020-04-27
55,Florida,57,2020-03-02,2020-04-27
56,Georgia,56,2020-03-03,2020-04-27
57,Hawaii,43,2020-03-15,2020-04-26
58,Idaho,50,2020-03-08,2020-04-26
59,Illinois,55,2020-03-04,2020-04-27
